os,ip,nic,target,suite name,case name,2019-10-18_result,ower
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_macfilter,test_kernel_2pf_2vf_1vm_mac_add_filter,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_offload,test_checksum_offload_disable,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_offload,test_checksum_offload_enable,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_offload,test_tso,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_dpdk_2pf_2vf_1vm,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_dpdk_pf_vf_reset,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_kernel_2pf_2vf_1vm,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_packet_rxtx,test_kernel_pf_vf_reset,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_rss,test_vf_pmdrss,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_rss,test_vf_pmdrss_reta,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_d2d_testpmd_stream,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_d2k_testpmd_stream,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_to_vf_nic_bridge,test_2vf_k2d_scapy_stream,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_vlan,test_add_pvid_vf,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_vlan,test_pvid_vf_tx,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_rx,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_strip,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vf_vlan,test_vf_vlan_tx,passed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vxlan_sample,test_vxlan_sample_chksum,failed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vxlan_sample,test_vxlan_sample_decap,failed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vxlan_sample,test_vxlan_sample_encap,failed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vxlan_sample,test_vxlan_sample_encap_decap,failed,
UB1404,10.238.54.216,fortville_25g,x86_64-native-linuxapp-gcc,vxlan_sample,test_vxlan_sample_tso,failed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,ixgbe_vf_get_extra_queue_information,test_disable_dcb,passed,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,ixgbe_vf_get_extra_queue_information,test_enable_dcb,passed,
